SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Республика Карелия";"Лицо";"Не указано";0
"Республика Карелия";"Лицо";"Кирпич, камень";0
"Республика Карелия";"Лицо";"Панель";0
"Республика Карелия";"Лицо";"Блок";0
"Республика Карелия";"Лицо";"Дерево";0
"Республика Карелия";"Лицо";"Смешанный материал";0
"Республика Карелия";"Лицо";"Другой материал";0
"Районы Республики Карелия";"Лицо";"Не указано";0
"Районы Республики Карелия";"Лицо";"Кирпич, камень";0
"Районы Республики Карелия";"Лицо";"Панель";0
"Районы Республики Карелия";"Лицо";"Блок";0
"Районы Республики Карелия";"Лицо";"Дерево";0
"Районы Республики Карелия";"Лицо";"Смешанный материал";0
"Районы Республики Карелия";"Лицо";"Другой материал";0
"Беломорский район";"Лицо";"Не указано";374
"Беломорский район";"Лицо";"Кирпич, камень";8176
"Беломорский район";"Лицо";"Панель";704
"Беломорский район";"Лицо";"Блок";1499
"Беломорский район";"Лицо";"Дерево";11267
"Беломорский район";"Лицо";"Смешанный материал";1358
"Беломорский район";"Лицо";"Другой материал";482
"Вепсская Национальная волость";"Лицо";"Не указано";28
"Вепсская Национальная волость";"Лицо";"Кирпич, камень";155
"Вепсская Национальная волость";"Лицо";"Панель";375
"Вепсская Национальная волость";"Лицо";"Блок";820
"Вепсская Национальная волость";"Лицо";"Дерево";1772
"Вепсская Национальная волость";"Лицо";"Смешанный материал";5
"Вепсская Национальная волость";"Лицо";"Другой материал";0
"Калевальский Национальный район";"Лицо";"Не указано";126
"Калевальский Национальный район";"Лицо";"Кирпич, камень";1403
"Калевальский Национальный район";"Лицо";"Панель";205
"Калевальский Национальный район";"Лицо";"Блок";70
"Калевальский Национальный район";"Лицо";"Дерево";7916
"Калевальский Национальный район";"Лицо";"Смешанный материал";0
"Калевальский Национальный район";"Лицо";"Другой материал";111
"Кемский район";"Лицо";"Не указано";18
"Кемский район";"Лицо";"Кирпич, камень";810
"Кемский район";"Лицо";"Панель";543
"Кемский район";"Лицо";"Блок";234
"Кемский район";"Лицо";"Дерево";3193
"Кемский район";"Лицо";"Смешанный материал";287
"Кемский район";"Лицо";"Другой материал";263
"Кондопожский район";"Лицо";"Не указано";314
"Кондопожский район";"Лицо";"Кирпич, камень";1254
"Кондопожский район";"Лицо";"Панель";275
"Кондопожский район";"Лицо";"Блок";1649
"Кондопожский район";"Лицо";"Дерево";5565
"Кондопожский район";"Лицо";"Смешанный материал";218
"Кондопожский район";"Лицо";"Другой материал";144
"Лахденпохский район";"Лицо";"Не указано";608
"Лахденпохский район";"Лицо";"Кирпич, камень";3481
"Лахденпохский район";"Лицо";"Панель";1796
"Лахденпохский район";"Лицо";"Блок";1843
"Лахденпохский район";"Лицо";"Дерево";8026
"Лахденпохский район";"Лицо";"Смешанный материал";63
"Лахденпохский район";"Лицо";"Другой материал";74
"Лоухский район";"Лицо";"Не указано";171
"Лоухский район";"Лицо";"Кирпич, камень";6183
"Лоухский район";"Лицо";"Панель";79
"Лоухский район";"Лицо";"Блок";2966
"Лоухский район";"Лицо";"Дерево";9898
"Лоухский район";"Лицо";"Смешанный материал";394
"Лоухский район";"Лицо";"Другой материал";178
"Медвежьегорский район";"Лицо";"Не указано";1262
"Медвежьегорский район";"Лицо";"Кирпич, камень";7796
"Медвежьегорский район";"Лицо";"Панель";2335
"Медвежьегорский район";"Лицо";"Блок";4720
"Медвежьегорский район";"Лицо";"Дерево";19781
"Медвежьегорский район";"Лицо";"Смешанный материал";716
"Медвежьегорский район";"Лицо";"Другой материал";282
"Муезерский район";"Лицо";"Не указано";165
"Муезерский район";"Лицо";"Кирпич, камень";1697
"Муезерский район";"Лицо";"Панель";294
"Муезерский район";"Лицо";"Блок";1244
"Муезерский район";"Лицо";"Дерево";12338
"Муезерский район";"Лицо";"Смешанный материал";494
"Муезерский район";"Лицо";"Другой материал";14
"Олонецкий район";"Лицо";"Не указано";635
"Олонецкий район";"Лицо";"Кирпич, камень";4840
"Олонецкий район";"Лицо";"Панель";905
"Олонецкий район";"Лицо";"Блок";3837
"Олонецкий район";"Лицо";"Дерево";15469
"Олонецкий район";"Лицо";"Смешанный материал";682
"Олонецкий район";"Лицо";"Другой материал";227
"Питкярантский район";"Лицо";"Не указано";234
"Питкярантский район";"Лицо";"Кирпич, камень";1527
"Питкярантский район";"Лицо";"Панель";19
"Питкярантский район";"Лицо";"Блок";933
"Питкярантский район";"Лицо";"Дерево";7560
"Питкярантский район";"Лицо";"Смешанный материал";210
"Питкярантский район";"Лицо";"Другой материал";6
"Прионежский район";"Лицо";"Не указано";411
"Прионежский район";"Лицо";"Кирпич, камень";3212
"Прионежский район";"Лицо";"Панель";3199
"Прионежский район";"Лицо";"Блок";1530
"Прионежский район";"Лицо";"Дерево";9722
"Прионежский район";"Лицо";"Смешанный материал";186
"Прионежский район";"Лицо";"Другой материал";9
"Пряжинский район";"Лицо";"Не указано";191
"Пряжинский район";"Лицо";"Кирпич, камень";3814
"Пряжинский район";"Лицо";"Панель";644
"Пряжинский район";"Лицо";"Блок";623
"Пряжинский район";"Лицо";"Дерево";11346
"Пряжинский район";"Лицо";"Смешанный материал";584
"Пряжинский район";"Лицо";"Другой материал";127
"Пудожский район";"Лицо";"Не указано";440
"Пудожский район";"Лицо";"Кирпич, камень";5840
"Пудожский район";"Лицо";"Панель";173
"Пудожский район";"Лицо";"Блок";1457
"Пудожский район";"Лицо";"Дерево";19014
"Пудожский район";"Лицо";"Смешанный материал";119
"Пудожский район";"Лицо";"Другой материал";358
"Сегежский район";"Лицо";"Не указано";338
"Сегежский район";"Лицо";"Кирпич, камень";5578
"Сегежский район";"Лицо";"Панель";277
"Сегежский район";"Лицо";"Блок";690
"Сегежский район";"Лицо";"Дерево";5210
"Сегежский район";"Лицо";"Смешанный материал";944
"Сегежский район";"Лицо";"Другой материал";272
"Суоярвский район";"Лицо";"Не указано";768
"Суоярвский район";"Лицо";"Кирпич, камень";3039
"Суоярвский район";"Лицо";"Панель";2151
"Суоярвский район";"Лицо";"Блок";2464
"Суоярвский район";"Лицо";"Дерево";13345
