SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Нижегородская область";"Лицо";"Не указано";0
"Нижегородская область";"Лицо";"Кирпич, камень";0
"Нижегородская область";"Лицо";"Панель";0
"Нижегородская область";"Лицо";"Блок";0
"Нижегородская область";"Лицо";"Дерево";0
"Нижегородская область";"Лицо";"Смешанный материал";0
"Нижегородская область";"Лицо";"Другой материал";0
"Районы Нижегородской области";"Лицо";"Не указано";0
"Районы Нижегородской области";"Лицо";"Кирпич, камень";0
"Районы Нижегородской области";"Лицо";"Панель";0
"Районы Нижегородской области";"Лицо";"Блок";0
"Районы Нижегородской области";"Лицо";"Дерево";0
"Районы Нижегородской области";"Лицо";"Смешанный материал";0
"Районы Нижегородской области";"Лицо";"Другой материал";0
"Ардатовский район";"Лицо";"Не указано";364
"Ардатовский район";"Лицо";"Кирпич, камень";8140
"Ардатовский район";"Лицо";"Панель";1652
"Ардатовский район";"Лицо";"Блок";122
"Ардатовский район";"Лицо";"Дерево";16797
"Ардатовский район";"Лицо";"Смешанный материал";2959
"Ардатовский район";"Лицо";"Другой материал";7
"Арзамасский район";"Лицо";"Не указано";552
"Арзамасский район";"Лицо";"Кирпич, камень";14064
"Арзамасский район";"Лицо";"Панель";6262
"Арзамасский район";"Лицо";"Блок";1143
"Арзамасский район";"Лицо";"Дерево";21546
"Арзамасский район";"Лицо";"Смешанный материал";2090
"Арзамасский район";"Лицо";"Другой материал";216
"Балахнинский район";"Лицо";"Не указано";410
"Балахнинский район";"Лицо";"Кирпич, камень";7388
"Балахнинский район";"Лицо";"Панель";7398
"Балахнинский район";"Лицо";"Блок";539
"Балахнинский район";"Лицо";"Дерево";7849
"Балахнинский район";"Лицо";"Смешанный материал";2556
"Балахнинский район";"Лицо";"Другой материал";94
"Богородский район";"Лицо";"Не указано";466
"Богородский район";"Лицо";"Кирпич, камень";16129
"Богородский район";"Лицо";"Панель";4565
"Богородский район";"Лицо";"Блок";244
"Богородский район";"Лицо";"Дерево";7646
"Богородский район";"Лицо";"Смешанный материал";1168
"Богородский район";"Лицо";"Другой материал";240
"Большеболдинский район";"Лицо";"Не указано";174
"Большеболдинский район";"Лицо";"Кирпич, камень";3516
"Большеболдинский район";"Лицо";"Панель";2836
"Большеболдинский район";"Лицо";"Блок";299
"Большеболдинский район";"Лицо";"Дерево";5165
"Большеболдинский район";"Лицо";"Смешанный материал";829
"Большеболдинский район";"Лицо";"Другой материал";176
"Большемурашкинский район";"Лицо";"Не указано";94
"Большемурашкинский район";"Лицо";"Кирпич, камень";7300
"Большемурашкинский район";"Лицо";"Панель";1340
"Большемурашкинский район";"Лицо";"Блок";23
"Большемурашкинский район";"Лицо";"Дерево";3225
"Большемурашкинский район";"Лицо";"Смешанный материал";395
"Большемурашкинский район";"Лицо";"Другой материал";0
"Борский район";"Лицо";"Не указано";1747
"Борский район";"Лицо";"Кирпич, камень";28882
"Борский район";"Лицо";"Панель";9200
"Борский район";"Лицо";"Блок";454
"Борский район";"Лицо";"Дерево";19362
"Борский район";"Лицо";"Смешанный материал";3848
"Борский район";"Лицо";"Другой материал";353
"Бутурлинский район";"Лицо";"Не указано";193
"Бутурлинский район";"Лицо";"Кирпич, камень";8474
"Бутурлинский район";"Лицо";"Панель";1510
"Бутурлинский район";"Лицо";"Блок";130
"Бутурлинский район";"Лицо";"Дерево";4851
"Бутурлинский район";"Лицо";"Смешанный материал";1057
"Бутурлинский район";"Лицо";"Другой материал";80
"Вадский район";"Лицо";"Не указано";297
"Вадский район";"Лицо";"Кирпич, камень";8097
"Вадский район";"Лицо";"Панель";2147
"Вадский район";"Лицо";"Блок";381
"Вадский район";"Лицо";"Дерево";3534
"Вадский район";"Лицо";"Смешанный материал";1035
"Вадский район";"Лицо";"Другой материал";42
"Варнавинский район";"Лицо";"Не указано";210
"Варнавинский район";"Лицо";"Кирпич, камень";3379
"Варнавинский район";"Лицо";"Панель";750
"Варнавинский район";"Лицо";"Блок";294
"Варнавинский район";"Лицо";"Дерево";6668
"Варнавинский район";"Лицо";"Смешанный материал";286
"Варнавинский район";"Лицо";"Другой материал";149
"Вачский район";"Лицо";"Не указано";402
"Вачский район";"Лицо";"Кирпич, камень";7775
"Вачский район";"Лицо";"Панель";2300
"Вачский район";"Лицо";"Блок";27
"Вачский район";"Лицо";"Дерево";11800
"Вачский район";"Лицо";"Смешанный материал";933
"Вачский район";"Лицо";"Другой материал";48
"Ветлужский район";"Лицо";"Не указано";506
"Ветлужский район";"Лицо";"Кирпич, камень";4020
"Ветлужский район";"Лицо";"Панель";202
"Ветлужский район";"Лицо";"Блок";494
"Ветлужский район";"Лицо";"Дерево";13143
"Ветлужский район";"Лицо";"Смешанный материал";322
"Ветлужский район";"Лицо";"Другой материал";7
"Вознесенский район";"Лицо";"Не указано";139
"Вознесенский район";"Лицо";"Кирпич, камень";6430
"Вознесенский район";"Лицо";"Панель";439
"Вознесенский район";"Лицо";"Блок";14
"Вознесенский район";"Лицо";"Дерево";11856
"Вознесенский район";"Лицо";"Смешанный материал";800
"Вознесенский район";"Лицо";"Другой материал";0
"Воротынский район";"Лицо";"Не указано";207
