"","ID_2","NAME_2"
"498",29720,"Arzamas"
"499",29721,"Arzamasskiy rayon"
"500",29722,"Balakhna"
"501",29723,"Balakhninskiy rayon"
"502",29724,"Bogorodsk"
"503",29725,"Bogorodskiy rayon"
"1287",29719,"Ardatovskiy rayon"
"1288",29726,"Bol'sheboldinskiy rayon"
"1289",29727,"Bol'shemurashkinskiy rayon"
"1290",29728,"Bor"
"1291",29729,"Borskiy rayon"
"1292",29730,"Buturlinskiy rayon"
"1293",29731,"Chkalovskiy rayon"
"1294",29732,"Dal'nekonstantinovskiy rayon"
"1295",29733,"Diveevskiy rayon"
"1296",29734,"Gaginskiy rayon"
"1297",29735,"Gorodets"
"1298",29736,"Gorodetskiy rayon"
"1299",29737,"Knyagininskiy rayon"
"1300",29738,"Koverninskiy rayon"
"1301",29739,"Krasnobakovskiy rayon"
"1302",29740,"Krasnooktyabr'skiy rayon"
"1303",29741,"Kstovo"
"1304",29742,"Kstovskiy rayon"
"1305",29743,"Kulebaki"
"1306",29744,"Kulebakskiy rayon"
"1307",29745,"Lukoyanovskiy rayon"
"1308",29746,"Lyskovskiy rayon"
"1309",29747,"Navashinskiy rayon"
"1310",29748,"Nizhniy Novgorod gorsovet"
"1311",29749,"Pavlovo"
"1312",29750,"Pavlovskiy rayon"
"1313",29751,"Perevozskiy rayon"
"1314",29752,"Pervomayskiy rayon"
"1315",29753,"Pil'ninskiy rayon"
"1316",29754,"Pochinkovskiy rayon"
"1317",29755,"Sechenovskiy rayon"
"1318",29756,"Semenovskiy rayon"
"1319",29757,"Sergachskiy rayon"
"1320",29758,"Shakhunskiy rayon"
"1321",29759,"Sharangskiy rayon"
"1322",29760,"Shatkovskiy rayon"
"1323",29761,"Sosnovskiy rayon"
"1324",29762,"Spasskiy rayon"
"1325",29763,"Tonkinskiy rayon"
"1326",29764,"Tonshaevskiy rayon"
"1327",29765,"Urenskiy rayon"
"1328",29766,"Vachskiy rayon"
"1329",29767,"Vadskiy rayon"
"1330",29768,"Varnavinskiy rayon"
"1331",29769,"Vetluzhskiy rayon"
"1332",29770,"Volodarskiy rayon"
"1333",29771,"Vorotynskiy rayon"
"1334",29772,"Voskresenskiy rayon"
"1335",29773,"Voznesenskiy rayon"
"1336",29774,"Vyksa"
"1337",29775,"Vyksunskiy rayon"
